"subject"	"activity"	"mean"
1	"laying"	-0.607522391836014
1	"sitting"	-0.633405230612481
1	"standing"	-0.647424789141436
1	"walking"	-0.319105810200331
1	"walking.down"	-0.297226292824001
1	"walking.up"	-0.40699661814598
2	"laying"	-0.639973837827844
2	"sitting"	-0.640597914078914
2	"standing"	-0.636454993012462
2	"walking"	-0.385708093716054
2	"walking.down"	-0.259677293061387
2	"walking.up"	-0.363983305102955
3	"laying"	-0.641445804875381
3	"sitting"	-0.622780836987975
3	"standing"	-0.626824657789309
3	"walking"	-0.386865862874514
3	"walking.down"	-0.350536138554404
3	"walking.up"	-0.424274671811149
4	"laying"	-0.630875080725603
4	"sitting"	-0.627074988752137
4	"standing"	-0.618583772157932
4	"walking"	-0.43055661483918
4	"walking.down"	-0.363790441016887
4	"walking.up"	-0.415260374462441
5	"laying"	-0.631793505517319
5	"sitting"	-0.627014833570021
5	"standing"	-0.618821537531601
5	"walking"	-0.378535121986988
5	"walking.down"	-0.296901580091929
5	"walking.up"	-0.356353464901252
6	"laying"	-0.619421431071453
6	"sitting"	-0.625412957710496
6	"standing"	-0.629253160586122
6	"walking"	-0.337513362522582
6	"walking.down"	-0.198922424840441
6	"walking.up"	-0.330642340129316
7	"laying"	-0.628303269447471
7	"sitting"	-0.628833138374792
7	"standing"	-0.63369010626409
7	"walking"	-0.306764482858546
7	"walking.down"	-0.317129508211319
7	"walking.up"	-0.427408293255387
8	"laying"	-0.627089533537997
8	"sitting"	-0.637726458982249
8	"standing"	-0.639463722621354
8	"walking"	-0.299755499867352
8	"walking.down"	-0.19351985419359
8	"walking.up"	-0.293377815632218
9	"laying"	-0.628414047268328
9	"sitting"	-0.627530823653232
9	"standing"	-0.633713631013694
9	"walking"	-0.37164660578822
9	"walking.down"	-0.313140747277053
9	"walking.up"	-0.427075431896002
10	"laying"	-0.633606314208568
10	"sitting"	-0.640078551091241
10	"standing"	-0.630886542166037
10	"walking"	-0.327086776127028
10	"walking.down"	-0.263162073365728
10	"walking.up"	-0.345652600356602
11	"laying"	-0.643553031373099
11	"sitting"	-0.636081608692102
11	"standing"	-0.648374467923916
11	"walking"	-0.431366510871248
11	"walking.down"	-0.348717448293558
11	"walking.up"	-0.43527506672087
12	"laying"	-0.63012919397725
12	"sitting"	-0.636301750626951
12	"standing"	-0.627684013763497
12	"walking"	-0.355560155447154
12	"walking.down"	-0.311490436338625
12	"walking.up"	-0.42179157558609
13	"laying"	-0.624337936876007
13	"sitting"	-0.638179130162868
13	"standing"	-0.639297749080434
13	"walking"	-0.316988827925179
13	"walking.down"	-0.317234723087439
13	"walking.up"	-0.411582073864772
14	"laying"	-0.628355645282404
14	"sitting"	-0.639930771868791
14	"standing"	-0.633771114374627
14	"walking"	-0.385501824502105
14	"walking.down"	-0.203378373864087
14	"walking.up"	-0.285486358859423
15	"laying"	-0.639883147448173
15	"sitting"	-0.641496217339585
15	"standing"	-0.640037091389994
15	"walking"	-0.390526282476396
15	"walking.down"	-0.280227328116279
15	"walking.up"	-0.393720911542089
16	"laying"	-0.635906117499551
16	"sitting"	-0.642254023210701
16	"standing"	-0.646538416475197
16	"walking"	-0.431362808379042
16	"walking.down"	-0.339080301791712
16	"walking.up"	-0.440146451770759
17	"laying"	-0.629876420657766
17	"sitting"	-0.643707360983648
17	"standing"	-0.644675070329398
17	"walking"	-0.387039462708526
17	"walking.down"	-0.365194496888334
17	"walking.up"	-0.401431355861112
18	"laying"	-0.645039855011435
18	"sitting"	-0.650240242162375
18	"standing"	-0.645518459042212
18	"walking"	-0.436306077297177
18	"walking.down"	-0.438663811185222
18	"walking.up"	-0.470681472754459
19	"laying"	-0.632999218754884
19	"sitting"	-0.638986666530727
19	"standing"	-0.640136697217531
19	"walking"	-0.238252786596887
19	"walking.down"	-0.078306398113335
19	"walking.up"	-0.316821118319495
20	"laying"	-0.644397438696908
20	"sitting"	-0.639872725383092
20	"standing"	-0.620027732157146
20	"walking"	-0.259518117088663
20	"walking.down"	-0.247169665420288
20	"walking.up"	-0.338291941451443
21	"laying"	-0.63110876443376
21	"sitting"	-0.644724493205524
21	"standing"	-0.638450214241584
21	"walking"	-0.330648706245588
21	"walking.down"	-0.291301975673511
21	"walking.up"	-0.381967006088137
22	"laying"	-0.632109081483277
22	"sitting"	-0.634015600138589
22	"standing"	-0.635992094486953
22	"walking"	-0.274200987116311
22	"walking.down"	-0.287664837258693
22	"walking.up"	-0.305185521541175
23	"laying"	-0.628089473591726
23	"sitting"	-0.632843540612456
23	"standing"	-0.637024168810267
23	"walking"	-0.265296718829829
23	"walking.down"	-0.20246554081645
23	"walking.up"	-0.369581312588007
24	"laying"	-0.634203387560794
24	"sitting"	-0.646619496620551
24	"standing"	-0.634194893841734
24	"walking"	-0.416975175176002
24	"walking.down"	-0.359085991984149
24	"walking.up"	-0.43583828688532
25	"laying"	-0.589506698496036
25	"sitting"	-0.645307467575153
25	"standing"	-0.645297950751058
25	"walking"	-0.460842122215599
25	"walking.down"	-0.429924410531157
25	"walking.up"	-0.48551223324769
26	"laying"	-0.640679888089531
26	"sitting"	-0.642718508921569
26	"standing"	-0.644004547265191
26	"walking"	-0.392008755561813
26	"walking.down"	-0.322473123490661
26	"walking.up"	-0.41167278243368
27	"laying"	-0.645993647892745
27	"sitting"	-0.647329814034974
27	"standing"	-0.644356212162637
27	"walking"	-0.377771272094104
27	"walking.down"	-0.312446129792811
27	"walking.up"	-0.426267052017458
28	"laying"	-0.640518710327799
28	"sitting"	-0.637322526513564
28	"standing"	-0.627883524309929
28	"walking"	-0.393787255237739
28	"walking.down"	-0.291650876955502
28	"walking.up"	-0.401092965937606
29	"laying"	-0.646324698842316
29	"sitting"	-0.644100724926612
29	"standing"	-0.650245278868483
29	"walking"	-0.352894943404783
29	"walking.down"	-0.31726279115201
29	"walking.up"	-0.364429747315138
30	"laying"	-0.642625296795821
30	"sitting"	-0.646017901904583
30	"standing"	-0.630635453342216
30	"walking"	-0.373607524126774
30	"walking.down"	-0.358790607945901
30	"walking.up"	-0.439370730188029
